name,price,mrp,category,sku,description,instock,rating,stockcount,quickdelivery
5V Relay Module single ch,43,60,Sensor,A5X-REL-001,Single channel 5V relay module,true,4.5,50,true
5V Dual Channel Relay Module,85,120,Sensor,A5X-REL-002,Dual channel relay with optocoupler,true,4.6,40,true
Soil Moisture Sensor Module,45,65,Sensor,A5X-SEN-001,Humidity detection sensor for soil,true,4.7,60,true
Metal Touch Sensor KY-036,46,70,Sensor,A5X-SEN-002,Human body touch sensor module,true,4.5,35,false
Raindrops Detection Sensor,51,75,Sensor,A5X-SEN-003,Rain detection sensor module,true,4.6,45,false
Flex Sensor 2.2,260,350,Sensor,A5X-SEN-004,Flexible bend sensor 2.2 inch,true,4.8,20,false
LM35D Temperature Sensor,87,120,Sensor,A5X-SEN-005,Analog temperature sensor module,true,4.7,30,true
DHT-11 Temperature Humidity,69,95,Sensor,A5X-SEN-006,Digital temperature and humidity sensor,true,4.8,80,true
BMP280 Pressure Sensor,55,80,Sensor,A5X-SEN-007,Barometric pressure and altitude sensor,true,4.7,50,false
TCS3200 Color Sensor,370,499,Sensor,A5X-SEN-008,Color recognition sensor module,true,4.9,25,false
Sound Detection Sensor,45,65,Sensor,A5X-SEN-009,Sound detection sensor module,true,4.6,55,true
NRF24L01 Wireless Module,155,220,Connectors,A5X-WIR-001,2.4GHz wireless transceiver with antenna,true,4.8,70,true
RFID Reader RC522,115,160,Sensor,A5X-RFID-001,RFID reader/writer with card and tag,true,4.9,60,true
Digital Servo Tester,135,180,Motors,A5X-SRV-001,Multi servo tester ESC speed control,true,4.7,40,false
Anti-Static Tweezers Set,170,240,Custom 3D Prints,A5X-TOOL-001,5 pieces tweezers set with bag,true,4.8,30,false
Allen Key Set Taparia,255,350,Custom 3D Prints,A5X-TOOL-002,9 pieces black finish allen key set,true,4.9,25,false
Hot Melt Glue Gun 60W,180,250,Custom 3D Prints,A5X-TOOL-003,60W hot melt glue gun,true,4.7,35,false
Soldering Kit,450,600,Custom 3D Prints,A5X-TOOL-004,Complete soldering kit,true,4.9,20,false
ImaxRC B3 Charger,320,450,Charger,A5X-CHG-001,Compact charger for 2-3 series LiPo,true,4.8,30,false
Li-ion 2 Cell Charger,180,250,Charger,A5X-CHG-002,Universal AC wall charger for 18650,true,4.7,40,true
Digital Multimeter DT830D,168,230,Custom 3D Prints,A5X-TOOL-005,LCD digital multimeter with probes,true,4.8,35,false
Glue Stick 11MM,9.5,15,Custom 3D Prints,A5X-GLUE-001,Generic 11mm glue stick,true,4.5,200,true
Cable Tie 100pcs,130,180,Cables,A5X-CABL-001,100 pieces cable tie pack,true,4.6,50,true
3S Battery Protection BMS,140,200,Battery,A5X-BMS-001,3S 11.1V 10A Li-ion BMS board,true,4.8,60,false
SIM800L GSM Module,270,380,Sensor,A5X-GSM-001,GSM GPRS micro sim TTL module,true,4.9,35,false
NEO 6M GPS Module,245,340,Sensor,A5X-GPS-001,Ublox GPS module with EEPROM,true,4.8,25,false
Flame Fire Sensor,35,50,Sensor,A5X-SEN-010,Flame and fire detection sensor,true,4.6,70,true
5V Passive Buzzer,12,20,Display,A5X-BUZ-001,PCB mount 5V passive buzzer,true,4.5,100,true
2 Pin Screw Terminal,4,8,Connectors,A5X-TERM-001,PCB mount screw terminal 5mm pitch,true,4.6,150,true
Li-ion 2 Cell Holder,25,40,Battery,A5X-HOLD-001,2 cell battery holder,true,4.7,80,true
10K Potentiometer,22,35,Connectors,A5X-POT-001,10k potentiometer with knob,true,4.6,50,true
DC Jack Male Female,18,28,Connectors,A5X-JACK-001,DC jack male and female pair,true,4.7,120,true
Heat Shrink Tubes Kit,219,300,Cables,A5X-HEAT-001,140 pieces heat shrink tubes kit,true,4.8,30,false
Round Magnet 15x3mm,6,12,Custom 3D Prints,A5X-MAG-001,Strong round magnet 15x3mm,true,4.5,150,true
Magnetic Reed Switch,11,18,Sensor,A5X-REED-001,Magnetic reed switch 12mm,true,4.6,120,true
High Power White LED,35,50,Display,A5X-LED-001,High power cold white LED,true,4.7,100,true
Desoldering Pump,110,150,Custom 3D Prints,A5X-TOOL-006,Solder sucker desoldering vacuum pump,true,4.8,45,false